year,number_of_unique_teams
1872,2
1873,2
1874,2
1875,2
1876,3
1877,3
1878,3
1879,3
1880,3
1881,3
1882,4
1883,4
1884,4
1885,6
1886,6
1887,4
1888,5
1889,4
1890,4
1891,4
1892,4
1893,4
1894,4
1895,4
1896,4
1897,4
1898,4
1899,4
1900,4
1901,4
1902,8
1903,9
1904,8
1905,15
1906,15
1907,13
1908,19
1909,16
1910,20
1911,21
1912,23
1913,25
1914,24
1915,13
1916,12
1917,13
1918,8
1919,20
1920,24
1921,38
1922,38
1923,47
1924,46
1925,45
1926,44
1927,43
1928,46
1929,41
1930,55
1931,46
1932,45
1933,40
1934,52
1935,50
1936,46
1937,51
1938,62
1939,48
1940,35
1941,30
1942,34
1943,22
1944,16
1945,35
1946,52
1947,69
1948,69
1949,75
1950,70
1951,66
1952,67
1953,93
1954,83
1955,71
1956,89
1957,89
1958,78
1959,87
1960,95
1961,99
1962,92
1963,121
1964,94
1965,114
1966,121
1967,122
1968,110
1969,122
1970,119
1971,133
1972,131
1973,131
1974,123
1975,131
1976,135
1977,128
1978,120
1979,152
1980,133
1981,141
1982,121
1983,145
1984,148
1985,150
1986,127
1987,145
1988,145
1989,152
1990,150
1991,156
1992,173
1993,186
1994,162
1995,181
1996,189
1997,195
1998,198
1999,201
2000,214
2001,214
2002,201
2003,212
2004,199
2005,197
2006,211
2007,223
2008,218
2009,209
2010,211
2011,240
2012,226
2013,206
2014,225
2015,245
2016,231
2017,225
2018,234
2019,252
2020,140
2021,196
2022,221
2023,246
